time,open,high,low,close,ST Line Up,ST Up,ST Line Down,ST Down,EMA 1,EMA 2,EMA 3,EMA 4,Zhighs,Zlows,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),BUY,SELL,AP,MOM,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close)
1708574400,51586.1,51910.32,51352,51827.63,44005.47010267839,NaN,NaN,NaN,51684.218208301165,51104.123168633996,49404.146613505,47123.20535868741,NaN,NaN,51465.97120618054,51910.32,51352,51669.0125,0,0,51737.316934681636,147.62999999999738,51586.1,51910.32,51352,51827.63
1708588800,51827.63,52034.12,51517.63,51622.04,44005.47010267839,NaN,NaN,NaN,51678.296474177245,51124.433632609136,49448.065294425694,47167.969882481564,NaN,NaN,51567.491853090265,52034.12,51517.63,51750.355,0,0,51736.805203737786,-479.0699999999997,51827.63,52034.12,51517.63,51622.04
1708603200,51622.05,51733.05,50940.78,51602.4,44005.47010267839,NaN,NaN,NaN,51671.06823854132,51143.17741172251,49490.72538760538,47212.09356524294,NaN,NaN,51658.92342654514,51733.05,50940.78,51474.57,0,0,51718.38254500762,-656.4199999999983,51622.05,51733.05,50940.78,51602.4
1708617600,51602.41,51750.01,51400,51509.99,44005.47010267839,NaN,NaN,NaN,51655.727453918335,51157.56221910594,49530.71082547458,47254.85870389724,NaN,NaN,51566.74671327257,51750.01,51400,51565.6025,0,0,51712.574726701074,-492,51602.41,51750.01,51400,51509.99
1708632000,51509.99,52065.78,51184.04,51288.42,44005.47010267839,NaN,NaN,NaN,51620.745791640395,51162.693896788056,49565.51694774241,47294.99364216692,NaN,NaN,51566.17460663628,52065.78,51184.04,51512.057499999995,0,0,51703.97124255335,-280.22000000000116,51509.99,52065.78,51184.04,51288.42
1708646400,51288.42,51548.54,50971.11,51100,44005.47010267839,NaN,NaN,NaN,51571.15095434131,51160.23531260029,49595.902750757414,47332.85440194635,NaN,NaN,51539.11605331814,51548.54,50971.11,51227.0175,0,0,51689.57428991967,134.47000000000116,51288.42,51548.54,50971.11,51100
1708660800,51100,51321.92,50889,50915.96,44005.47010267839,NaN,NaN,NaN,51508.75181583261,51150.65588857675,49622.04249826717,47368.50719396678,NaN,NaN,51383.06677665907,51383.06677665907,50889,51056.719999999994,0,0,51674.155363732156,-240.04000000000087,51100,51321.92,50889,50915.96
1708675200,50915.95,51263.22,50830,51218.95,44005.47010267839,NaN,NaN,NaN,51481.15164289618,51153.33408902472,49653.664428994554,47406.820057708406,NaN,NaN,51219.89338832953,51263.22,50830,51057.03,0,0,51658.274779820356,160.9499999999971,50915.95,51263.22,50830,51218.95
1708689600,51218.94,51333.47,50800.32,50911.11,44005.47010267839,NaN,NaN,NaN,51426.86196262035,51143.8351051414,49678.56434129169,47441.688614348124,NaN,NaN,51138.46169416477,51333.47,50800.32,51065.96000000001,0,0,51628.478139797626,-938.2799999999988,51218.94,51333.47,50800.32,50911.11
1708704000,50911.1,51195.18,50629.33,51099.09,44005.47010267839,NaN,NaN,NaN,51395.64558522794,51142.080395135854,49706.69356225621,47478.0806679367,NaN,NaN,51102.21084708239,51195.18,50629.33,50958.674999999996,0,0,51608.494014189746,-487.01000000000204,50911.1,51195.18,50629.33,51099.09
